[2021-09-13 13:09:19,990][INFO] train iteration 397
[2021-09-13 13:09:20,353][INFO] train iteration 398
[2021-09-13 13:09:20,715][INFO] train iteration 399
[2021-09-13 13:09:21,076][INFO] train iteration 400
[2021-09-13 13:09:21,646][INFO] train iteration 401
[2021-09-13 13:09:22,007][INFO] train iteration 402
[2021-09-13 13:09:22,368][INFO] train iteration 403
[2021-09-13 13:09:22,730][INFO] train iteration 404
[2021-09-13 13:09:23,091][INFO] train iteration 405
[2021-09-13 13:09:23,455][INFO] train iteration 406
[2021-09-13 13:09:23,817][INFO] train iteration 407
[2021-09-13 13:09:24,178][INFO] train iteration 408
[2021-09-13 13:09:24,541][INFO] train iteration 409
[2021-09-13 13:09:24,903][INFO] train iteration 410
[2021-09-13 13:09:25,265][INFO] train iteration 411
[2021-09-13 13:09:25,627][INFO] train iteration 412
[2021-09-13 13:09:25,990][INFO] train iteration 413
[2021-09-13 13:09:26,353][INFO] train iteration 414
[2021-09-13 13:09:26,716][INFO] train iteration 415
[2021-09-13 13:09:27,078][INFO] train iteration 416
[2021-09-13 13:09:27,440][INFO] train iteration 417
[2021-09-13 13:09:27,804][INFO] train iteration 418
[2021-09-13 13:09:28,167][INFO] train iteration 419
[2021-09-13 13:09:28,528][INFO] train iteration 420
[2021-09-13 13:09:28,890][INFO] train iteration 421
[2021-09-13 13:09:29,251][INFO] train iteration 422
[2021-09-13 13:09:29,612][INFO] train iteration 423
[2021-09-13 13:09:29,974][INFO] train iteration 424
[2021-09-13 13:09:30,335][INFO] train iteration 425
[2021-09-13 13:09:30,697][INFO] train iteration 426
[2021-09-13 13:09:31,061][INFO] train iteration 427
[2021-09-13 13:09:31,423][INFO] train iteration 428
[2021-09-13 13:09:31,784][INFO] train iteration 429
[2021-09-13 13:09:32,145][INFO] train iteration 430
[2021-09-13 13:09:32,507][INFO] train iteration 431
[2021-09-13 13:09:32,869][INFO] train iteration 432
[2021-09-13 13:09:33,230][INFO] train iteration 433
[2021-09-13 13:09:33,592][INFO] train iteration 434
[2021-09-13 13:09:33,957][INFO] train iteration 435
[2021-09-13 13:09:34,319][INFO] train iteration 436
[2021-09-13 13:09:34,680][INFO] train iteration 437
[2021-09-13 13:09:35,041][INFO] train iteration 438
[2021-09-13 13:09:35,403][INFO] train iteration 439
[2021-09-13 13:09:35,766][INFO] train iteration 440
[2021-09-13 13:09:36,129][INFO] train iteration 441
[2021-09-13 13:09:36,491][INFO] train iteration 442
